Date,BLH,WindSpeed,VentilationCoefficient,PM25,PM10,Toluene,Benzene,Ozone,AdjustedPM25,AdjustedPM10,AdjustedToluene,AdjustedBenzene,AdjustedOzone
15-Mar-2024 16:00:00,47.4433597149487,2.67891427511344,127.096693599718,13.5,88.75,0.75,0.15,73.575,0.106218341466201,0.698287244824102,0.00590101897034453,0.00118020379406891,0.578889960990798
15-Mar-2024 17:00:00,42.0800168309247,2.74422313551141,115.476955730133,17.5,92,0.9,0.2,65.175,0.151545387470181,0.79669575127181,0.00779376278418075,0.0017319472853735,0.564398321621089
15-Mar-2024 18:00:00,36.968080644589,2.87758943782741,106.378958399621,17.5,96.5,0.85,0.1,49.7,0.164506216861608,0.907134281551151,0.00799030196184951,0.000940035524923472,0.467197655886966
15-Mar-2024 19:00:00,35.627244923583,2.79283746365544,99.5011043494106,22.25,105.25,0.85,0.1,14.5,0.22361560854507,1.05777720446601,0.00854261875340718,0.00100501397098908,0.145727025793417
15-Mar-2024 20:00:00,36.968080644589,2.64053404541333,97.615475535623,24.75,132.75,1.05,0.2,5.825,0.253545863134867,1.35992781135974,0.0107564911632974,0.00204885545967569,0.0596729152630545
15-Mar-2024 21:00:00,42.4152257611763,2.25666733907137,95.7170546545851,30.75,173.75,1.35,0.2,5.9,0.321259362931379,1.81524599379925,0.0141040695921093,0.0020894917914236,0.0616400078469963
15-Mar-2024 22:00:00,66.6340709718474,2.44343325473543,162.815904911013,33.75,167.5,1.275,0.2,6.625,0.207289330968287,1.02876927221298,0.00783093028102417,0.00122838122055281,0.0406901279308119
15-Mar-2024 23:00:00,59.6784856691288,2.18041146876907,130.123654591739,36.75,182,1.2,0.2,5.775,0.282423669357448,1.39866960062736,0.00922199736677381,0.00153699956112897,0.044380862327599
16-Mar-2024 00:00:00,59.0080678086256,2.21339611258168,130.608227898568,38.75,191.75,1.45,0.325,5.025,0.296688812209394,1.46813109009423,0.0111019039407386,0.00248835777982072,0.0384738395187666
16-Mar-2024 01:00:00,62.1087504134521,2.28200793471808,141.732661258922,30,155,1.1,0.3,12.6,0.211666102460286,1.09360819604481,0.00776109042354381,0.00211666102460286,0.08889976303332
16-Mar-2024 02:00:00,77.8635701352728,2.90812196820438,226.436758833209,35.5,170,1.15,0.3,6.55,0.156776665515465,0.750761496834621,0.00507868071388126,0.00132487322970815,0.028926398848628
16-Mar-2024 03:00:00,122.9491712541,2.13205536467363,262.134440154482,50.5,212.75,1.225,0.325,11.6,0.192649237430378,0.811606440857682,0.00467317457133095,0.00123982182504699,0.0442521020632155
16-Mar-2024 04:00:00,223.76325702724,2.07439292691964,464.172917681809,43.5,200.75,1.475,0.325,16.3,0.0937150754448352,0.432489687254038,0.00317769508692257,0.000700170103898194,0.0351162236724325
16-Mar-2024 05:00:00,450.448296109821,2.05478998762946,925.576648791208,34.5,178.25,1.425,0.325,27.15,0.037274060495213,0.192582645891934,0.00153958075958488,0.000351132453940412,0.0293330649984067
16-Mar-2024 06:00:00,750.376486452355,1.55711439187639,1168.4220263806,32,166.75,1.6,0.325,15.825,0.0273873645630644,0.142713845027843,0.00136936822815322,0.000278152921343623,0.0135439076315779
16-Mar-2024 07:00:00,1064.80246302827,0.903618678291495,962.175394283131,40.5,203.25,1.7,0.3,9.075,0.0420921177579838,0.211240072452104,0.00176682963428574,0.000311793464873954,0.0094317523124371
16-Mar-2024 08:00:00,1276.98971587747,1.01509490830696,1296.26575854757,49,239.25,1.725,0.3,24.325,0.0378008905017311,0.184568633725289,0.00133074563500992,0.000231434023479987,0.0187654420705022
16-Mar-2024 09:00:00,1350.56807606767,1.4194424414573,1917.05364724779,51.5,251.25,1.8,0.3,49.6,0.0268641412690436,0.131060495026159,0.000938940859888902,0.000156490143314817,0.0258730370280497
16-Mar-2024 10:00:00,1442.08011402633,1.68290108508647,2426.87818867655,45,210.5,1.375,0.25,74.05,0.0185423397886072,0.0867369450111513,0.000566571493540774,0.000103012998825595,0.0305124502521413
16-Mar-2024 11:00:00,1378.89323067393,1.97108624066282,2717.91747432448,26.75,118.5,1.075,0.2,91.575,0.0098420942698595,0.0435995577935832,0.000395523414583139,7.35857515503514e-05,0.0336930759911171
16-Mar-2024 12:00:00,187.728297025204,1.51291764075567,284.01745223845,15.5,111.25,0.9,0.2,96.625,0.0545741111253501,0.391701281464207,0.00316881935566549,0.000704182079036776,0.340207966934642
16-Mar-2024 13:00:00,71.7460071581827,3.4313940708876,246.188823572447,13,117.25,0.8,0.15,121.475,0.0528049966337096,0.476260450407881,0.00324953825438213,0.000609288422696649,0.493422074313837
16-Mar-2024 14:00:00,45.2645016683141,3.40566754867868,154.155844438889,21,113,0.75,0.15,148,0.136225779025361,0.733024429993607,0.00486520639376288,0.000973041278752576,0.960067395035875
16-Mar-2024 15:00:00,34.4540136677028,3.41253042118191,117.575369772853,30.25,144.75,0.825,0.175,160.925,0.257281776433625,1.23112519466999,0.00701677572091703,0.00148840697110361,1.36869652471342
16-Mar-2024 16:00:00,33.5321891095114,3.04812966688403,102.210460420267,39.5,182.75,0.95,0.225,141.6,0.386457509706782,1.7879774657953,0.00929454770180868,0.00220134024516521,1.38537679429064
16-Mar-2024 17:00:00,38.0575096679067,2.67536537114641,101.817743477587,36.25,194.25,1.075,0.2,95.475,0.356028318462779,1.90782071341779,0.0105580811682066,0.00196429417082913,0.937704929799555
16-Mar-2024 18:00:00,46.3539306916314,2.47483016390208,114.718105891076,30.75,174.75,1.2,0.2,55.725,0.268048358723748,1.52329920933252,0.0104604237550731,0.00174340395917885,0.485755928126207
16-Mar-2024 19:00:00,52.8067025989726,2.40003215036749,126.737783992429,32,175.75,1.275,0.225,30.075,0.25248981788976,1.38672142169141,0.0100601411815451,0.00177531903203737,0.237300977282329
16-Mar-2024 20:00:00,56.7454075294281,2.38153563127521,135.141209942566,38.25,207.75,1.55,0.3,13.075,0.283037276462568,1.53728089372807,0.0114694844056727,0.00221990020754955,0.0967506507123681
16-Mar-2024 21:00:00,61.3545303203859,2.45083867668658,150.370055899141,41.75,245,2.525,0.325,11.725,0.277648363900345,1.62931375222957,0.0167919070382844,0.00216133456928413,0.0779743009995581
16-Mar-2024 22:00:00,59.8460901342546,2.15790570137106,129.142219105474,50.25,272.75,3.025,0.4,8.05,0.389105904699991,2.11201264690393,0.0234237882928851,0.00309736043542282,0.0623343787628842
16-Mar-2024 23:00:00,50.4602400872122,2.0898752640313,105.455607575346,49.5,242.75,3,0.375,10.075,0.469391824087054,2.30191647064914,0.0284479893386093,0.00355599866732617,0.095537830862163
17-Mar-2024 00:00:00,49.2032065987692,2.11626855065409,104.127198716311,47.5,201,3.225,0.325,12.45,0.456172840387374,1.93033138774447,0.0309717349526164,0.00312118259212414,0.119565302375217
17-Mar-2024 01:00:00,47.1919530172599,2.00337704181243,94.5432752330693,46,227,2.6,0.3,4.7,0.486549676712598,2.40101688290782,0.0275006339011468,0.00317315006551694,0.0497126843597654
17-Mar-2024 02:00:00,60.1812990645058,2.81988836337724,169.704544924925,43.5,224,2.325,0.3,5.625,0.256327843306988,1.31994107817851,0.0137002812802011,0.00176777822970337,0.0331458418069381
