Date,BLH,WindSpeed,WindDirection,VentilationCoefficient,PM25,PM10,Toluene,Benzene,Ozone,NO,NO2,ExcelWindSpeed,ExcelWindDirection,AdjustedPM25,AdjustedPM10,AdjustedToluene,AdjustedBenzene,AdjustedOzone,AdjustedNO,AdjustedNO2,HourlyAvgWindSpeed,HourlyAvgWindDirection
04-Apr-2024 20:00:00,130.072361021945,2.63064992615313,-93.2960959881909,342.174846916942,54.75,254.25,3.8,0.5,4.875,12.35,78.7,0.625,8,0.160005916546197,0.743041174098093,0.011105433477179,0.00146124124699723,0.014247102158223,0.0360926588008316,0.229999372277364,0.625,8
04-Apr-2024 21:00:00,124.709018137921,2.63685590240285,-91.5182114683792,328.83971055984,69.75,317.75,4.05,0.45,5.55,28.35,71.65,0.625,8,0.212109419149082,0.966276242790263,0.0123160307893015,0.00136844786547795,0.016877523674228,0.0862122155251108,0.217887310136656,0.625,8
04-Apr-2024 22:00:00,76.0199210188894,2.34148755076539,-70.1584925964816,177.999698675898,83,338.75,7,0.5,6.3,37.45,67.275,0.975,8,0.46629292418706,1.90309310925743,0.0393259092687882,0.00280899351919916,0.0353933183419094,0.210393614588017,0.377950078008246,0.975,8
04-Apr-2024 23:00:00,68.393917855668,2.25399121428874,-62.8918421011104,154.159289957461,84.25,325,7.15,0.45,22.95,16.3,50.25,3.15,8,0.546512636528411,2.10820898364075,0.0463805976400966,0.00291905859273335,0.148871988229401,0.105734789025675,0.325961542855224,3.15,8
05-Apr-2024 00:00:00,72.8354361815004,2.17984277286098,-60.6444370589266,158.769799168421,67.75,232.25,3.025,0.35,52.075,3.15,33.35,2.975,8,0.426718433573955,1.46280968557271,0.0190527418680622,0.00220444947233777,0.327990589348541,0.01984004525104,0.210052542578471,2.975,8
05-Apr-2024 01:00:00,64.2038062275237,2.22397778847195,-44.6091929512593,142.78783898537,59,180,1.4,0.3,44.9,1.5,28.5,3.7,8,0.413200454739323,1.26061155683183,0.00980475655313647,0.00210101926138639,0.314452549454162,0.0105050963069319,0.199596829831707,3.7,8
05-Apr-2024 02:00:00,91.355729577896,3.04831249771798,-42.6279860925429,278.480812210444,58,150,1.6,0.2,49.6,0.9,25.1,3.3,8,0.208272877185413,0.538636751341586,0.00574545868097691,0.000718182335122114,0.178109219110284,0.00323182050804951,0.0901318830578254,3.3,8
05-Apr-2024 03:00:00,146.329994139143,3.03897605188762,-38.5948069329168,444.693347861712,54.75,144.25,0.925,0.275,43.375,1.4,23.75,0.875,8,0.123118549587627,0.324380836128131,0.00208008508435717,0.000618403673727807,0.0975391249016132,0.00314823688443247,0.0534075900037651,0.875,8
05-Apr-2024 04:00:00,330.778708010033,3.76910755794392,-36.7863894687552,1246.74052836754,45.5,128.75,0.7,0.2,23.3,1.95,33.75,0.525,8,0.0364951639613231,0.10326928263781,0.000561464060943432,0.000160418303126695,0.01868873231426,0.00156407845548528,0.0270705886526298,0.525,8
05-Apr-2024 05:00:00,1547.75472928812,5.17968974603085,-37.0249677398555,8016.88930066444,48.5,140.75,0.625,0.15,13.575,12.1,46.625,0.675,8,0.00604972804052319,0.0175566849835802,7.79604128933401e-05,1.87104990944016e-05,0.00169330016804335,0.00150931359361506,0.00581584680184317,0.675,8
